Year,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
2021,7046000000,,12703000000,,10285000000,7692000000,27323000000,12585000000,12585000000,,,,,,2418000000,33671000000,21086000000,6348000000,118000000,,10285000000,10285000000
2020,6316000000,,10565000000,,9194000000,6500000000,23239000000,10423000000,10423000000,,,,,,1371000000,29010000000,18587000000,5771000000,142000000,,9194000000,9194000000
2019,6096000000,,12513000000,,10394000000,5215000000,23678000000,12367000000,12367000000,,,,,,2119000000,29077000000,16710000000,5399000000,146000000,,10394000000,10394000000
2018,5197000000,,11503000000,,9497000000,4465000000,21040000000,11378000000,11378000000,,,,,,2006000000,26171000000,14793000000,5131000000,125000000,,9497000000,9497000000
